
I/10.08.2017 20:12:32 | ACTIONS (Action 'com.example.acis.actionpackages.sample/SampleAction' successfully initialized and added to the system.)
I/10.08.2017 20:12:32 | ACTIONS (Action 'com.example.acis.actionpackages.sample/SampleActionArray$0' successfully initialized and added to the system.)
I/10.08.2017 20:12:32 | ACTIONS (Action 'com.example.acis.actionpackages.sample/SampleActionArray$1' successfully initialized and added to the system.)
I/10.08.2017 20:12:32 | ACTIONS (Action 'com.example.acis.actionpackages.sample/SampleContextConstructor' successfully initialized and added to the system.)
I/10.08.2017 20:12:32 | ACTIONS (Action 'com.example.acis.actionpackages.sample/SampleContextAction' successfully initialized and added to the system.)
I/10.08.2017 20:12:32 | ACTIONS (Action 'com.example.acis.actionpackages.sample/SampleContextDestructor' successfully initialized and added to the system.)
I/10.08.2017 20:12:55 | ACTIONS (Action 'com.example.acis.actionpackages.sample/SampleAction' successfully initialized and added to the system.)
I/10.08.2017 20:12:55 | ACTIONS (Action 'com.example.acis.actionpackages.sample/SampleActionArray$0' successfully initialized and added to the system.)
I/10.08.2017 20:12:55 | ACTIONS (Action 'com.example.acis.actionpackages.sample/SampleActionArray$1' successfully initialized and added to the system.)
I/10.08.2017 20:12:55 | ACTIONS (Action 'com.example.acis.actionpackages.sample/SampleContextConstructor' successfully initialized and added to the system.)
I/10.08.2017 20:12:55 | ACTIONS (Action 'com.example.acis.actionpackages.sample/SampleContextAction' successfully initialized and added to the system.)
I/10.08.2017 20:12:55 | ACTIONS (Action 'com.example.acis.actionpackages.sample/SampleContextDestructor' successfully initialized and added to the system.)
I/10.08.2017 20:13:56 | MATCHER (Matcher started for Sentence 'sample action' with threshold 0.0)
I/10.08.2017 20:13:56 | MATCHER (Matcher finished with 4 results.)
I/10.08.2017 20:14:04 | MATCHER (Matcher started for Sentence 'create context' with threshold 0.0)
I/10.08.2017 20:14:04 | MATCHER (Matcher finished with 4 results.)
I/10.08.2017 20:14:46 | MATCHER (Matcher started for Sentence 'create context' with threshold 0.0)
I/10.08.2017 20:14:46 | MATCHER (Matcher finished with 6 results.)
I/10.08.2017 20:14:48 | MATCHER (Matcher started for Sentence 'create context' with threshold 0.0)
I/10.08.2017 20:14:48 | MATCHER (Matcher finished with 6 results.)
I/10.08.2017 20:14:49 | MATCHER (Matcher started for Sentence 'create context' with threshold 0.0)
I/10.08.2017 20:14:49 | MATCHER (Matcher finished with 6 results.)
I/10.08.2017 20:14:49 | MATCHER (Matcher started for Sentence 'create context' with threshold 0.0)
I/10.08.2017 20:14:49 | MATCHER (Matcher finished with 6 results.)
I/10.08.2017 20:14:49 | MATCHER (Matcher started for Sentence 'create context' with threshold 0.0)
I/10.08.2017 20:14:49 | MATCHER (Matcher finished with 6 results.)
I/10.08.2017 20:14:50 | MATCHER (Matcher started for Sentence 'create context' with threshold 0.0)
I/10.08.2017 20:14:50 | MATCHER (Matcher finished with 6 results.)
I/10.08.2017 20:14:50 | MATCHER (Matcher started for Sentence 'create context' with threshold 0.0)
I/10.08.2017 20:14:50 | MATCHER (Matcher finished with 6 results.)
I/10.08.2017 20:14:51 | MATCHER (Matcher started for Sentence 'create context' with threshold 0.0)
I/10.08.2017 20:14:51 | MATCHER (Matcher finished with 6 results.)
I/10.08.2017 20:14:51 | MATCHER (Matcher started for Sentence 'create context' with threshold 0.0)
I/10.08.2017 20:14:51 | MATCHER (Matcher finished with 6 results.)
I/10.08.2017 20:14:51 | MATCHER (Matcher started for Sentence 'create context' with threshold 0.0)
I/10.08.2017 20:14:51 | MATCHER (Matcher finished with 6 results.)
I/10.08.2017 20:14:51 | MATCHER (Matcher started for Sentence 'create context' with threshold 0.0)
I/10.08.2017 20:14:51 | MATCHER (Matcher finished with 6 results.)
I/10.08.2017 20:14:52 | MATCHER (Matcher started for Sentence 'create context' with threshold 0.0)
I/10.08.2017 20:14:52 | MATCHER (Matcher finished with 6 results.)
I/10.08.2017 20:14:52 | MATCHER (Matcher started for Sentence 'create context' with threshold 0.0)
I/10.08.2017 20:14:52 | MATCHER (Matcher finished with 6 results.)
I/10.08.2017 20:14:52 | MATCHER (Matcher started for Sentence 'create context' with threshold 0.0)
I/10.08.2017 20:14:52 | MATCHER (Matcher finished with 6 results.)
